id,lan_code,sentence
8301704,eng,They seemed to be living a charmed life filled with hope and promise.
8525947,eng,She didn't want to tell him that she'd lost all his money.
5516272,eng,Tom is a big fat liar.
6509964,eng,I didn't realize how busy Tom and Mary were.
3821766,eng,I don't want another one.
9803696,eng,Tom walked up the trail.
7403659,eng,He said he wasn't so sure.
1832502,eng,I'm here and I would like to say something.
5852869,eng,I'm Tom's French teacher.
1798398,eng,The girl is jumping on the bed.
5303224,eng,We cry justice for the victim of the recent shooting in Manila.
995260,eng,Don't mess me around!
7173573,eng,I thought that you did fairly well.
7226369,eng,I don't think that you'll have that problem.
2542335,eng,I'm sure Tom meant no offense.
3918845,eng,I'm calling him.
296414,eng,He is very concerned about his elderly parent's health.
10782750,eng,Do you know the boy next door?
6474955,eng,It was a very poor idea for a pastor to have an affair.
6893353,eng,"It was hot, so I took off my coat."
8536386,eng,She barricaded herself in his bedroom.
6504224,eng,I wonder what Tom and Mary are doing in Boston now.
8429094,eng,Don't lie to Tom and me.
6915455,eng,I forgot to shave.
6234440,eng,You have no idea why Tom wanted you to do that.
8586809,eng,Do you think that Tom would do that by himself?
7503063,eng,"You didn't know that I no longer needed to do that, did you?"
5259964,eng,Tom doesn't like fishing.
9458528,eng,Algeria is a quickly urbanizing country.
6265467,eng,You promised you'd do that.
2892923,eng,Why didn't you think of that?
8170380,eng,"Only now, after ten years, I finally understood what Tom meant on that occasion. I must call him right now! ""Mom, it's too late at night."""
6350816,eng,Did you go to Boston last week?
8539382,eng,We were disappointed to hear that he couldn't get a visa.
6511617,eng,Let's see what Tom and Mary have to offer.
8825940,eng,I think we'll win.
269731,eng,The son is known by his father.
6260888,eng,I know why I ought to do that.
2663482,eng,That was never my problem.
10029629,eng,I just want to see Tom's reaction.
3172185,eng,Fix this.
59526,eng,This plan will bankrupt the economy of our town.
4080955,eng,I'm tired of your comments.
7864112,eng,Tom says that he was fired.
1026821,eng,Tom can't afford to send his children to college.
6948413,eng,Does she always smoke Charles' cigarettes?
8405840,eng,Tom came to Boston by himself.
4501531,eng,Prepare for the worst.
5836392,eng,How are we supposed to prevent that from happening?
1665118,eng,He never laughs when I tell him a joke.
1531961,eng,Tom stood up for what is right.
6425717,eng,I think Mary did that by herself.
6530794,eng,Tom doesn't want to go abroad.
9807331,eng,Yanni doesn't have anyone to talk to.
7175516,eng,Tom thought that nobody was home.
4013474,eng,I think I left the water running.
6855651,eng,Tom tried out the massage chair at the store.
9269184,eng,Tom brought it to us.
6240692,eng,"That's exactly what Tom said to me, too."
6927847,eng,How long do you want to live here?
8264313,eng,I told Tom that I knew what had happened.
7186214,eng,I don't doubt Tom was the one who did that.
33043,eng,He is but a child.
295570,eng,He was very badly situated.
1123421,eng,It's been a pleasure talking to you.
9809440,eng,I hope that one of you has a car.
1396474,eng,He earns three times more than me.
3914500,eng,I didn't ignore her.
1565765,eng,The washing-up machine at home was regarded as a rival to the worker at the kitchen sink.
6242864,eng,I'm doing the same thing Tom is doing.
3985623,eng,"No, I don't have a headache; I just don't want to sleep with you."
261016,eng,I can't bear to see her cry.
8049989,eng,Mennad likes biracial girls.
277466,eng,Let me in.
5101665,eng,The kids are all fired up.
6890637,eng,Are you and Tom coming to the party tonight?
